PLAKA,İL ADI,Ocak,Şubat,Mart,Nisan,Mayıs,Haziran,Temmuz,Ağustos,Eylül,Ekim ,Kasım,Aralık
56,SİİRT,3.6,4.5,5.5,6.5,8.9,11.6,12.1,11.4,9.9,7.2,5.2,3.6
57,SİNOP,2.3,3,3.9,5.4,6.8,9,9.8,8.9,6.9,4.8,3.4,2.3
58,SİVAS,2.5,3.5,4.8,6.3,8.1,10.6,12,11.5,9.5,6.5,4.2,2.4
59,TEKİRDAĞ,2.37,2.67,4.07,5.07,5.87,5.83,6.43,6.27,4.83,3.67,2.78,2.14
60,TOKAT,2.7,3.7,4.8,6.3,7.3,8.2,8.7,9.3,8.4,5.9,4.2,2.4
61,TRABZON,2.7,3.3,3.4,4.4,5.5,7.1,5.9,5.6,4.9,4.5,3.7,2.7
62,TUNCELİ,3.4,4.3,5.4,6.6,8.4,10.8,11.5,10.8,9.2,6.6,5,3.1
63,ŞANLIURFA,4.1,5.1,6.4,7.8,10,12.1,12.3,11.4,10,7.9,5.9,4
64,UŞAK,3.8,4.4,5.4,6.7,8.7,10.8,11.6,11.1,9.4,7.2,5.2,3.6
65,VAN,4.6,5.4,6,7.3,9.3,11.7,12.1,11.4,9.8,7.1,5.5,4.2
66,YOZGAT,3,4.2,5.3,6.5,8.1,9.9,11,10.7,8.9,6.6,4.8,3
67,ZONGULDAK,2.2,2.8,3.9,5.4,6.9,9.4,10.2,9.5,7.4,5,3.4,2.3
68,AKSARAY,3.2,4.5,5.8,7.2,9.1,11.2,12.2,11.7,9.9,7.1,5.1,3.2
69,BAYBURT,1.3,3.8,5,6.1,7.4,9,10.1,9.7,7.9,5.5,2.3,0.9
70,KARAMAN,3.5,4.7,6.4,8,9.9,11.8,12.8,12.1,10.3,7.6,5.5,3.5
71,KIRIKKALE,2.7,4.3,5.6,7.1,8.6,10.5,11.6,11,9.1,6.6,4.4,2.4
72,BATMAN,3.2,4.6,5.6,7.3,9,11.5,11.9,11.2,9.8,6.9,5.2,3
73,ŞIRNAK,3.1,4.6,6,7.8,8.7,11.1,11.6,11.5,10.2,7.2,5.1,2.8
74,BARTIN,2.2,3.2,4.2,5.8,7.2,9,9.8,9.3,7.4,5.1,3.5,2.3
75,ARDAHAN,2.5,3.4,4.7,5.1,6.3,7.9,8.3,8,7.1,5.1,3.7,2.4
76,IĞDIR,2.5,4.1,5.3,6,7.4,9.5,10,9.6,8.5,6.1,4.3,2.5
77,YALOVA,1.7,2.6,3.6,4.7,6.3,7.7,8.2,7.7,6.3,4.2,2.3,1.3
78,KARABÜK,1.6,3.2,3.5,7.3,6,7.7,9.3,8.7,6.9,4.8,3.8,2.7
79,KİLİS,3.9,5,6.4,7.9,9.4,11.3,11.7,11.2,10,7.6,5.7,3.9
80,OSMANİYE,3.9,4.6,5.6,6.8,8.2,9.3,9.2,8.9,8.5,6.8,4.9,4.1
81,DÜZCE,1.8,2.9,3.8,5.3,6.9,8.5,9,8.4,6.4,4.3,2.7,1.7
